공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[미니창고 다락] 백엔드 개발자 채용,(주)세컨신드롬,수정일 23/10/10,상시채용,서울 강남구,경력5년↑,학력무관,정규직,,"GCP, 풀스택, Spring, SpringBoot, Python 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46406689&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
백엔드 개발자,(주)바디프랜드,등록일 23/10/06,~ 10/22(일),서울 강남구,경력 5~15년,대졸↑,정규직,,"유지보수, Spring, SpringBoot, SQL, API 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46703682&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
IT기술영업 담당자(경력) 채용,메이븐클라우드서비스(주),수정일 23/10/06,~ 11/04(토),서울 강남구,경력3년↑,고졸↑,정규직,,"GCP, AWS, 클라우드, Azure, 영업 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46708289&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
2023 하반기 개발 부문 채용,디케이앤드(DK&),등록일 23/10/05,~ 11/04(토),경기 고양시 덕양구,경력무관,학력무관,정규직,,"API, React, Git, 반응형웹, React-Native 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46697296&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
Spring Boot 백엔드 개발자,루브릭랩스(주),등록일 23/09/27,상시채용,서울 서초구,경력 5~10년,대졸↑,정규직,,"GCP, 유지보수, Spring, PostgreSQL, SpringBoot 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46664142&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[HR 딥테크 기업] 그레이비랩 JAVA Backend Lead/Senior 모집,(주)그레이비랩,수정일 23/09/25,~ 10/18(수),서울 강남구,경력7년↑,대졸↑,정규직,,"GCP, Spring, SpringBoot, RestAPI, Python 외 수정일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46601862&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
Vue 개발자 채용 - 자사 관리 프로그램 개발(사내 특허관리),주식회사 리온아이피엘,수정일 23/09/27,~ 10/27(금),서울 서초구,경력 2~15년,학력무관,정규직·기간제,,"유지보수, Vue.js, 프론트엔드, CSS, 웹개발 외 수정일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46645405&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
머신러닝 엔지니어 / AI Researcher,아이헤이트플라잉버그스(주),등록일 23/10/11,상시채용,서울전체,경력 5~10년,학력무관,정규직,,"GCP, AI(인공지능), SQL, Python, Pytorch 외 등록일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46733926&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
2023년 메디허브 부문별 경력 공개 채용,주식회사 메디허브,수정일 23/10/10,~ 10/30(월),서울 서초구,경력5년↑,대졸↑,정규직,,"AE(광고기획자), 홍보, 헬스케어, SpringBoot, SQL 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46517478&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
개발직 경력채용 - JAVA 개발자,(주)셈틀컴퍼니,수정일 23/10/06,상시채용,경기 의정부시,경력5년↑,초대졸↑,정규직,"6,000 만원","GCP, Spring, SpringBoot, RestAPI, MariaDB 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46627434&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
JAVA 개발/컨텐츠 개발/서비스 기획자/Backend 개발 채용,(주)폴리인스퍼레이션,수정일 23/10/06,~ 11/01(수),서울 송파구,경력,학력무관,정규직·계약직,,"GCP, 유지보수, Spring, PostgreSQL, SpringBoot 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46448094&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
백엔드 엔지니어,(주)다이렉트클라우드랩,수정일 23/04/25,상시채용,서울 강남구,경력 4~10년,학력무관,정규직,,"GCP, AWS, GoLang, 클라우드, Azure 외 수정일 23/04/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45384711&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
서비스 백엔드 엔지니어 (개발 리더),롯데헬스케어(주),수정일 23/01/26,상시채용,서울전체,경력 6~15년,대졸↑,정규직,,"GCP, AWS, Java, 인프라, 헬스케어 외 수정일 23/01/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44914877&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
넷킬러 구글 클라우드 솔루션 기술지원팀 신입/ 경력 채용,넷킬러(주),수정일 23/09/26,~ 11/25(토),서울 중구,신입·경력,대졸↑,정규직,,"GCP, AWS, MySQL, 클라우드, DLP 외 수정일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46657705&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
Data Engineer (데이터 엔지니어) 채용 공고,(주)테이블에이아이,등록일 23/10/06,~ 12/05(화),경기 성남시 수정구,경력무관,대졸↑,정규직·계약직,,"GCP, Redis, SQL, Python, Kafka 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46703300&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
데이터사이언티스트 (분석가) 채용,(주)파이디지털헬스케어,등록일 23/10/04,채용시,서울 서대문구,경력 2~10년,대졸↑,정규직·계약직,,"GCP, ETL, SQL, Python, RDBMS 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46681321&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
IT기술영업 담당자(경력) 채용,메이븐클라우드서비스(주),등록일 23/10/06,~ 12/05(화),서울 강남구,경력3년↑,학력무관,정규직,,"GCP, ABAP, NLP(자연어처리), 기술영업, 모델링 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46703659&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
"[페이먼스] 소프트웨어 엔지니어(백엔드)(3년이상, N명)",주식회사 파이노버스랩,수정일 23/09/18,상시채용,서울전체,경력 3~20년,학력무관,정규직,,"GCP, 풀스택, SQL, Python, API 외 수정일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46558644&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
AWS Infra Engineer (인프라 엔지니어),(주)피어테크,등록일 23/09/27,~ 10/31(화),서울 강남구,경력 3~8년,대졸↑,정규직,,"Python, VPN, Git, ISMS, AWS 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46667012&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[캐시워크] 데이터분석 담당 (석사/박사),넛지헬스케어(주),수정일 23/07/13,상시채용,서울 강남구,신입·경력,석사↑,정규직,,"헬스케어, SQL, Python, SE(시스템엔지니어), R 외 수정일 23/07/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45591062&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
AI 금융 엔지니어,(주)제로원에이아이,등록일 23/06/22,상시채용,경기전체,경력 2~10년,석사↑,정규직,,"GCP, AI(인공지능), Python, SaaS, API 외 등록일 23/06/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45981914&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
Cloud 기반 플랫폼 개발자 모집,씨온드림(주),수정일 23/10/05,채용시,경기 성남시 분당구,경력4년↑,초대졸↑,정규직,,"IoT, S/W, GoLang, AWS, C++ 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46690746&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
커머스 백엔드 엔지니어 (개발 리더),롯데헬스케어(주),수정일 23/01/26,상시채용,서울전체,경력 6~15년,대졸↑,정규직,,"GCP, AWS, MySQL, 인프라, 헬스케어 외 수정일 23/01/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44914815&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
Datadog 사업 부문(Tech/Sales 등) 채용,메가존클라우드(주),등록일 23/09/12,~ 11/11(토),서울 강남구,경력무관,학력무관,정규직,,"GCP, SQL, SaaS, 기술영업, APM 외 등록일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46560697&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
Cloud 기반 플랫폼 개발자 모집,씨온드림(주),등록일 23/10/05,상시채용,경기전체,경력 4~15년,초대졸↑,정규직,,"SE(시스템엔지니어), Kubernetes, IoT, Git, AWS 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46694851&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[리빌더AI] 웹 풀스택 개발자,(주)리빌더에이아이,등록일 23/09/25,상시채용,서울 서초구,경력 5~15년,대졸↑,정규직,,"GCP, 유지보수, 풀스택, Spring, SpringBoot 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46643585&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
"Cloud Sales 부문 (Account Manager, Architect, Sales) 채용",메가존클라우드(주),등록일 23/09/12,~ 11/11(토),서울 강남구,경력무관,학력무관,정규직,,"GCP, 기술영업, 컴플라이언스, 바이어발굴/관리, IT영업 외 등록일 23/09/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46560793&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[기술본부] 프론트엔드 개발자 (React) 모집,(주)미디움,수정일 23/10/10,오늘마감,서울 강남구,경력3년↑,초대졸↑,정규직,,"GCP, Redux, 핀테크, 알고리즘, Git 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46655642&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
