공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
프론트개발팀 퍼블리셔,(주)플래티어,수정일 23/08/21,상시채용,서울전체,경력 7~13년,학력무관,정규직,,"CSS3, React, 반응형웹, 웹표준·웹접근성, ReactJS 외 수정일 23/08/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46393796&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[인텔리전스랩스] 글로벌 빌링 PM,(주)넥슨,등록일 23/09/18,채용시,경기 성남시 분당구,신입·경력,학력무관,정규직,,"기획, PM(프로젝트매니저), 게임 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46605316&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
AI Algorithm Engineer 채용,(주)코니스트,수정일 23/09/26,~ 10/26(목),서울 마포구,신입·경력,대졸↑,정규직,,"머신러닝, Keras, 알고리즘, Tensorflow, 빅데이터 외 수정일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46651739&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
머신비전 SW 개발자 경력직(3년 이상) 모집,(주)커넥티드인사이트,등록일 23/09/15,~ 11/14(화),충남 아산시,경력3년↑,대졸↑,정규직,"4,500 만원","머신러닝, SI개발, C#, C++, C언어 외 등록일 23/09/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46590341&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[경기 성남] 솔루션 영업 모집,(주)다리소프트,등록일 23/10/11,상시채용,경기 성남시 분당구,경력5년↑,고졸↑,정규직,,"머신러닝, 정보통신, 모델링, 컴퓨터비전, IoT 외 등록일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46733741&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
Saas Solution 운영관리 담당자 모집,(주)이지컴아이앤씨,수정일 23/09/22,~ 10/21(토),경기 용인시 기흥구,경력무관,학력무관,정규직,,"SaaS, HTML5, API, CSS3, 클라우드 외 수정일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46631282&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
해운사 ERP 시스템 운영 웹 개발자 정규직 모집,마린웍스(주),등록일 23/09/18,채용시,서울 종로구,신입·경력,대졸↑,정규직,,"머신러닝, 유지보수, AI(인공지능), SQL, .NET 외 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46602014&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[FC Online] Data Engineer,일렉트로닉아츠코리아유한책임회사,수정일 23/09/21,상시채용,서울 강남구,경력 3~10년,학력무관,정규직,,"머신러닝, SE(시스템엔지니어), 알고리즘, DBMS, Spark 외 수정일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45989303&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
에이전트 레오 백엔드 개발자 팀원을 찾습니다.,주식회사 청춘레슬러,등록일 23/10/03,~ 11/02(목),서울 강남구,경력2년↑,초대졸↑,정규직,,"머신러닝, Git, AWS, MySQL, Node.js 외 등록일 23/10/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46675834&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
AI엔지니어,(주)리빌더에이아이,수정일 23/09/20,~ 10/20(금),서울 서초구,경력 3~7년,대졸↑,정규직·계약직,,"머신러닝, Keras, 알고리즘, SI개발, Tensorflow 외 수정일 23/09/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46624016&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
SW 개발 정규직 채용,(주)아이리스,수정일 23/09/21,채용시,대전 서구,경력3년↑,학력무관,정규직,,"C++, Android, Python, 앱개발, SW개발 외 수정일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46632424&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
(주)엠에이아이티 인공지능 엔지니어 개발 경력직 모집,(주)엠에이아이티,등록일 23/09/11,오늘마감,대구 달서구,경력2년↑,대졸↑,정규직·계약직,,"AI(인공지능), 소프트웨어개발 등록일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46559127&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
[코스닥상장사] 머신비젼/영상처리 SW 개발 경력자 채용,(주)하이비젼시스템,수정일 23/09/20,~ 10/20(금),경기 성남시 중원구,경력무관,대졸↑,정규직,,"MFC, 유지보수, 알고리즘, S/W, 영상처리 외 수정일 23/09/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46614764&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
(주)노랑풍선 전사 IT 부문 경력직 채용,(주)노랑풍선,수정일 23/09/01,~ 11/30(목),서울 중구,경력3년↑,학력무관,정규직·계약직,,"머신러닝, 사업관리, SpringBoot, SQL, Angular 외 수정일 23/09/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46486185&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
[인턴] DQ(데이터 품질 운영) 인턴,(주)카카오스타일,수정일 23/10/04,~ 10/31(화),서울 강남구,신입,학력무관,인턴직,,"머신러닝, 데이터라벨링, 데이터시각화, 딥러닝, SQL 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46680878&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
라텔과 함께 할 DBA 개발자(경력)를 모집합니다,(주)라텔앤드파트너즈,수정일 23/09/25,~ 11/24(금),서울 중구,경력 2~20년,학력무관,정규직,,"머신러닝, ISMS, AWS, 솔루션, 데이터분석가 외 수정일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46645837&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
[지앤티솔루션] AI 영상 분야 신규 채용(병역특례 전문연구원),(주)지앤티솔루션,등록일 23/10/04,~ 10/31(화),서울 영등포구,신입,석사↑,전문연구요원·현역,,"머신러닝, R&D, AI(인공지능), 기술연구, 도시교통 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46689212&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
[엔진스튜디오] 23년 산업기능요원 보충역 모집 (프로그래밍),(주)엔진스튜디오,수정일 23/08/24,상시채용,경기 성남시 분당구,경력무관,초대졸↑,정규직·산업기능요원,,"Kotlin, S/W, React, Java, 게임개발 외 수정일 23/08/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46427045&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=f498cca4-2077-4237-85c7-fb778b20163c
