공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
재무회계팀 경력 채용 공고,(주)크로커스,등록일 23/10/10,~ 11/09(목),서울 강남구,경력 7~10년,초대졸↑,정규직,,"더존, 법인결산, 예산관리, 자체기장, 출납 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46722890&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[인텔리전스랩스] 데이터 분석가 (넥슨 플랫폼),(주)넥슨,등록일 23/09/27,채용시,경기 성남시 분당구,경력무관,학력무관,정규직,,"데이터분석가, 머신러닝, 모델링, GCP, Python 외 등록일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46667497&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[인천국제공항공사] 2023년 연구직 채용공고,(주)스카우트,등록일 23/10/05,진행예정,인천 중구,신입,석사↑,무기계약직·계약직,"6,300 만원","IoT, AI(인공지능), 경영기획, 모델링, 솔루션 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46702725&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
AI연구소 연구원 채용[서울강남],(주)씨엘모빌리티,수정일 23/10/04,~ 11/02(목),서울 서초구,경력 2~10년,대졸↑,정규직,,"데이터시각화, 빅데이터, 백엔드/서버개발, 딥러닝, 머신러닝 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46681608&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[써모피셔 사이언티픽] Field Applications (LIMS),써모피셔사이언티픽 코리아 (주),등록일 23/10/10,채용시,서울 강남구,경력 3~15년,대졸↑,정규직,,"IT컨설팅, 솔루션, AWS, SQL, 바이오 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46730816&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[LG계열사] 데이터센터 운영 지원 프로젝트 담당자,(주)비즈테크온,수정일 23/10/06,채용시,서울 강서구,경력3년↑,초대졸↑,정규직,,"정보통신, 사무직, Excel, OA, 기계기사 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46688203&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
LG그룹사) 시스템 및 정보보안 부문 모집 (정규직),플랜브이 주식회사,등록일 23/09/11,채용시,서울 강서구,경력무관,초대졸↑,정규직,"3,500 만원","데이터엔지니어, DBA, 기술지원, 백엔드/서버개발, 보안컨설팅 외 등록일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46556315&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[eMoldino] AI Data Scientist,(주)이몰디노,등록일 23/10/06,상시채용,서울 중구,신입·경력,대졸↑,정규직,,"데이터분석가, 데이터시각화, 데이터마이닝, 빅데이터, SE(시스템엔지니어) 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46712383&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
Data Engineer 경력 채용,오비맥주(주),수정일 23/10/05,~ 11/03(금),서울 강남구,경력,대졸↑,정규직,,"데이터엔지니어, DBA, 데이터분석가, AWS, Azure 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46698296&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
[존슨앤드존슨 서지컬비전]Regulatory Affairs Specialist(계약),(주)한국존슨앤드존슨,등록일 23/10/10,채용시,서울 용산구,경력3년↑,대졸↑,계약직,,"보건의료정보관리사, RA, 제약/바이오, 의약·제약, 의료·보건 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46731425&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=3c5befb8-f933-47af-8452-c6a442298dec
