공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
반도체 SQA 엔지니어 - 글로벌 Automotive 그룹,(주)글로벌에이치알코리아,등록일 23/10/04,채용시,경기 안양시 동안구,경력무관,대졸↑,정규직,,"자율주행, 품질검사원, QA, QC, 공정엔지니어 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46684994&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
국내1위 AMR 물류로봇 전장 설계 및 제작 (신입/경력),(주)티라로보틱스,등록일 23/10/04,채용시,경기 성남시 중원구,경력 1~10년,학력무관,정규직,,"자율주행, 로봇설계, 메카트로닉스, Hardware 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46691652&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
[신입/경력] 소프트웨어 개발 관리 담당자 모집,(주)건우솔루션,수정일 23/10/12,~ 10/25(수),서울 강서구,경력무관,초대졸↑,정규직,,"IT컨설팅, QA/테스터, SI개발, ICT컨설팅, 임베디드 외 수정일 23/10/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46644371&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
Software Engineer (Route Data Intelligence),포티투닷(주),등록일 23/08/29,상시채용,서울 강남구,경력 7~20년,대졸↑,정규직,,"웹개발, 머신러닝, 블록체인, 알고리즘, S/W 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463770&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
차량 단말기 인스톨러(설치 및 유지보수) 모집 (수도권),(주)아이앤카코퍼레이션,수정일 23/10/04,~ 10/27(금),경기 안양시 동안구,경력무관,학력무관,정규직·프리랜서,,"유지보수, 정비기사, A/S기사, 썬팅, 자동차튜닝 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46668881&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
[나비프라] 프론트 엔드 개발자,(주)나비프라,수정일 23/10/05,~ 11/04(토),서울 서초구,경력3년↑,대졸↑,정규직,,"프론트엔드, 솔루션, 인프라, 자율주행, API 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46693251&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
로봇 기술운영 팀원 채용,(주)폴라리스쓰리디,등록일 23/09/14,~ 10/14(토),서울 강남구,경력무관,대졸↑,계약직,,"솔루션, 자율주행, 기타제조업 등록일 23/09/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46578985&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
하드웨어 경력 개발자,(주)긴트,수정일 23/09/27,상시채용,경기전체,경력 2~8년,초대졸↑,정규직,,"임베디드, H/W, 임베디드리눅스, H/W, OrCAD 외 수정일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45788956&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
Backend Engineer (Autonomous Transportation matriX),포티투닷(주),등록일 23/08/29,상시채용,서울 강남구,경력 5~10년,대졸↑,정규직,,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 블록체인, S/W 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463455&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
앱 개발자,(주)니어스랩,등록일 23/09/05,상시채용,서울 강남구,경력 2~5년,학력무관,정규직,,"앱개발, Android, Kotlin, 딥러닝, 자율주행 외 등록일 23/09/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46510565&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
Software Engineer (Map Converting),포티투닷(주),등록일 23/08/29,상시채용,서울 강남구,경력 7~20년,대졸↑,정규직,,"백엔드/서버개발, 웹개발, 인프라, S/W, AWS 외 등록일 23/08/29",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46463594&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
