공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
[지머니트랜스] 외국인 대상 마케팅/고객 대응 팀 채용,지머니트랜스(주),등록일 23/09/18,~ 10/18(수),서울 종로구,경력무관,대졸↑,정규직·계약직,,"고객관리, 고객응대, SNS마케팅, 온라인마케팅, CS 외 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46604696&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[StyleKorean] B2B 국가별 해외 화장품 영업 수시채용,(주)실리콘투,등록일 23/09/22,채용시,경기 성남시 분당구,신입·경력,초대졸↑,정규직,,"무역MR, 영업관리, 해외영업, 화장품영업, B2B 외 등록일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46637261&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
해외토목사업 개발(해외영업),(주)투비파트너즈,등록일 23/10/04,오늘마감,서울 종로구,경력15년↑,대졸↑,정규직,,"건설영업, 해외영업, 타당성검토, 기획, 영업 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46681676&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
글로벌기업 영상컨탠츠 (통번역 27국어) 장기 경력직 프리랜서,주식회사 에이패스,수정일 23/08/27,상시채용,경기 화성시,경력2년↑,학력무관,프리랜서,,"통/번역, 영어, 미디어 수정일 23/08/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46444466&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[소펙사 코리아] 해외 농식품 홍보 마케팅 경력자 모집,소펙사코리아(유),등록일 23/10/04,~ 12/03(일),서울 강남구,경력5년↑,대졸↑,정규직,,"마케팅기획, 마케팅전략, 행사기획, 글로벌마케팅, 기업홍보 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46691039&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
해외사업팀 신입 및 경력 모집,(주)덱스레보,수정일 23/10/11,~ 10/15(일),서울 강남구,신입·경력,대졸↑,정규직,,"무역MR, 영업관리, 영업지원, 영업직, 영업MD 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46703003&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
리빙브랜드 마틸라 해외영업 [경력] 채용,주식회사 더메종,수정일 23/10/11,~ 11/10(금),서울 성동구,경력3년↑,학력무관,정규직,,"B2B, 무역거래, 무역영어, 바이어발굴/관리, 수출입 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46552717&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
세이브더칠드런 국제사업부문 국제사업2팀 사업관리 담당자 모집,세이브더칠드런코리아,등록일 23/10/06,~ 11/05(일),서울 마포구,경력무관,학력무관,계약직,,"교육기획, 사업기획, 전략기획, PM(프로젝트매니저), PMO 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46704622&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[펄어비스] 게임 번역가 모집,(주)펄어비스,등록일 23/09/18,~ 10/18(수),경기 과천시,경력무관,학력무관,계약직,,"통/번역, 영어, 제2외국어, 게임개발, 게임운영 외 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46604329&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
"[툰잉] 웹툰 번역/감수 프리랜서(독일,스페인,프랑스,일본,대만)",(주)툰잉,등록일 23/08/22,~ 10/21(토),서울 중구,경력무관,학력무관,프리랜서,,"통/번역, 제2외국어, 일본어, 만화 등록일 23/08/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46407616&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
